Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/27/2022,12/27/2022,AUTOMATIC PAYMENT - THANK,,Payment,28.65,
12/26/2022,12/27/2022,ADVANCE AUTO PARTS 8645,Automotive,Sale,-4.56,
12/23/2022,12/25/2022,BJ'S FUEL #9353,Gas,Sale,-42.46,
12/23/2022,12/25/2022,7-ELEVEN 34396,Gas,Sale,-8.78,
12/23/2022,12/25/2022,BRAVO PIZZERIA,Food & Drink,Sale,-18.46,
12/20/2022,12/22/2022,7-ELEVEN 34396,Gas,Sale,-3.00,
12/21/2022,12/22/2022,PAYPAL *BJSWHOLESAL,Shopping,Sale,-5.30,
12/20/2022,12/21/2022,WAL-MART #2341,Shopping,Sale,-27.30,
12/17/2022,12/19/2022,AUTOZONE #3498,Automotive,Sale,-9.55,
12/15/2022,12/16/2022,7-ELEVEN 37373,Gas,Sale,-4.10,
12/14/2022,12/16/2022,BRAVO PIZZERIA,Food & Drink,Sale,-16.59,
12/13/2022,12/15/2022,7-ELEVEN 34396,Gas,Sale,-6.98,
12/13/2022,12/14/2022,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-85.00,
12/10/2022,12/12/2022,BAY POINTE RESTAURANT,Food & Drink,Sale,-62.00,
12/10/2022,12/12/2022,7-ELEVEN 37373,Gas,Sale,-14.66,
12/10/2022,12/11/2022,PAYPAL *STEAM GAMES,Entertainment,Sale,-1.05,
12/10/2022,12/11/2022,MARSHALLS #0027,Shopping,Sale,-9.99,
12/07/2022,12/08/2022,PASTRY LAND,Groceries,Sale,-35.28,
12/07/2022,12/08/2022,TST* Christos Pizza,Food & Drink,Sale,-17.66,
12/04/2022,12/06/2022,7-ELEVEN 37373,Gas,Sale,-7.81,
12/02/2022,12/04/2022,7-ELEVEN 34396,Gas,Sale,-2.39,
12/02/2022,12/02/2022,Payment Thank You-Mobile,,Payment,203.14,
12/01/2022,12/02/2022,PAYPAL *WALMART COM,Shopping,Sale,-28.65,
11/30/2022,12/01/2022,SUPER PETRO ROSLINDALE,Gas,Sale,-39.33,
11/29/2022,12/01/2022,7-ELEVEN 34396,Gas,Sale,-3.64,
11/30/2022,12/01/2022,7-ELEVEN 37373,Gas,Sale,-9.04,
11/29/2022,11/30/2022,CSC SERVICEWORK,Food & Drink,Sale,-2.00,
11/26/2022,11/28/2022,7-ELEVEN 37373,Gas,Sale,-11.01,
11/28/2022,11/28/2022,SEAMLSSIHOP,Food & Drink,Sale,-19.63,
11/27/2022,11/28/2022,7-ELEVEN 37373,Gas,Sale,-4.10,
11/26/2022,11/27/2022,PAYPAL *DREAMHOST,Bills & Utilities,Sale,-155.88,
11/26/2022,11/27/2022,7-ELEVEN 37373,Gas,Sale,-22.21,
11/26/2022,11/27/2022,TST* Punjab Cafe,Food & Drink,Sale,-24.61,
11/24/2022,11/25/2022,7-ELEVEN 37373,Gas,Sale,-4.10,
11/23/2022,11/24/2022,SQ *LOS AMIGOS TAQUERIA,Food & Drink,Sale,-15.73,
11/24/2022,11/24/2022,PP*DR DRI*AVG TECHNOLOGI,Shopping,Sale,-110.49,
11/22/2022,11/24/2022,7-ELEVEN 34396,Gas,Sale,-3.00,
11/21/2022,11/22/2022,CSC SERVICEWORK,Food & Drink,Sale,-2.00,
11/20/2022,11/21/2022,PAYPAL *UDEMY,Education,Sale,-24.98,
11/19/2022,11/20/2022,TST* Sharon Korean,Food & Drink,Sale,-18.06,
11/19/2022,11/20/2022,SUPER PETRO ROSLINDALE,Gas,Sale,-48.15,
11/14/2022,11/15/2022,CSC SERVICEWORK,Food & Drink,Sale,-2.00,
11/13/2022,11/14/2022,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-87.83,
11/07/2022,11/08/2022,CVS/PHARMACY #00137,Health & Wellness,Sale,-28.14,
11/07/2022,11/07/2022,UBER   EATS,Food & Drink,Sale,-14.40,
11/07/2022,11/07/2022,UBER   EATS,Food & Drink,Sale,-25.85,
11/06/2022,11/07/2022,7-ELEVEN 37373,Gas,Sale,-4.10,
11/05/2022,11/06/2022,WALGREENS #18361,Health & Wellness,Sale,-11.79,
